iter	Passed	Remaining
411	4614	6585
412	4621	6568
413	4628	6550
414	4633	6531
415	4638	6511
416	4643	6491
417	4648	6472
418	4654	6453
419	4658	6433
420	4663	6414
421	4669	6396
422	4674	6376
423	4679	6357
424	4686	6340
425	4691	6321
426	4697	6303
427	4702	6284
428	4707	6265
429	4712	6246
430	4717	6228
431	4722	6209
432	4728	6191
433	4733	6172
434	4737	6153
435	4743	6136
436	4749	6118
437	4753	6098
438	4757	6080
439	4764	6063
440	4769	6045
441	4774	6027
442	4779	6010
443	4784	5991
444	4790	5974
445	4795	5956
446	4800	5938
447	4805	5921
448	4810	5903
449	4815	5885
450	4821	5869
451	4827	5852
452	4832	5835
453	4837	5818
454	4843	5801
455	4848	5784
456	4853	5766
457	4858	5749
458	4864	5733
459	4868	5715
460	4876	5701
461	4883	5686
462	4888	5670
463	4896	5655
464	4901	5639
465	4908	5625
466	4914	5609
467	4923	5596
468	4929	5580
469	4934	5564
470	4939	5547
471	4945	5532
472	4951	5516
473	4959	5503
474	4964	5487
475	4978	5480
476	4986	5467
477	4998	5458
478	5008	5447
479	5022	5440
480	5030	5427
481	5036	5412
482	5045	5400
483	5056	5391
484	5068	5381
485	5075	5368
486	5084	5355
487	5095	5346
488	5102	5332
489	5109	5318
490	5121	5308
491	5128	5295
492	5134	5280
493	5141	5266
494	5152	5256
495	5159	5243
496	5171	5234
497	5178	5219
498	5185	5205
499	5191	5191
500	5202	5181
501	5214	5173
502	5225	5162
503	5232	5148
504	5241	5137
505	5247	5122
506	5256	5110
507	5262	5096
508	5269	5083
509	5276	5069
510	5287	5060
511	5293	5045
512	5299	5030
513	5306	5017
514	5313	5003
515	5326	4996
516	5337	4986
517	5350	4978
518	5360	4968
519	5367	4954
520	5374	4941
521	5380	4926
522	5388	4914
523	5397	4903
524	5415	4899
525	5435	4897
526	5447	4889
527	5459	4880
528	5467	4867
529	5480	4859
530	5489	4848
531	5496	4835
532	5506	4824
533	5521	4818
534	5532	4808
535	5539	4795
536	5551	4786
537	5558	4773
538	5570	4764
539	5579	4752
540	5588	4741
541	5602	4733
542	5614	4725
543	5625	4715
544	5632	4702
545	5638	4688
546	5647	4676
547	5654	4663
548	5660	4650
549	5671	4640
550	5685	4632
551	5696	4623
552	5712	4617
553	5725	4609
554	5741	4603
555	5750	4591
556	5767	4587
557	5780	4579
558	5795	4572
559	5806	4562
560	5818	4552
561	5833	4546
562	5852	4542
563	5867	4535
564	5886	4531
565	5899	4523
566	5913	4515
567	5926	4507
568	5944	4502
569	5955	4492
570	5966	4482
571	5978	4473
572	5996	4468
573	6010	4460
