iter	Logloss
0	0.6309982483
1	0.5582112281
2	0.5025937497
3	0.4555166771
4	0.4035792414
5	0.3617101781
6	0.3315263412
7	0.3012128208
8	0.2756818379
9	0.2476296167
10	0.2290102056
11	0.2077890656
12	0.1903316337
13	0.1723544519
14	0.1582106963
15	0.1474939241
16	0.1365429788
17	0.1273304366
18	0.1174751266
19	0.1076721852
20	0.09944483413
21	0.09385127833
22	0.08868017234
23	0.08279491326
24	0.07884463314
25	0.07451844974
26	0.07097879872
27	0.06778241879
28	0.06477225358
29	0.06262427474
30	0.05980105852
31	0.05715321576
32	0.0556057565
33	0.05420058522
34	0.0527447452
35	0.05149319026
36	0.04995984913
37	0.04844720922
38	0.04696946587
39	0.04575320951
40	0.04461334426
41	0.0434926621
42	0.04264028595
43	0.04189947918
44	0.04112361248
45	0.04057831994
46	0.03987494804
47	0.03953643753
48	0.03894664526
49	0.0383175805
50	0.03803059422
51	0.03756609586
52	0.03704610281
53	0.03657498409
54	0.03632891306
55	0.0359198943
56	0.03564590747
57	0.03523983787
58	0.03492348975
59	0.03469265762
60	0.03446119696
61	0.0340330916
62	0.03367949835
63	0.0335157377
64	0.03332761706
65	0.03313323439
66	0.03282088757
67	0.0325507879
68	0.03235200543
69	0.03218267664
70	0.03196276847
71	0.03175551062
72	0.03157541677
73	0.03143078806
74	0.03122977501
75	0.03103597293
76	0.030897315
77	0.0307161131
78	0.03055043009
79	0.03038577697
80	0.03028552787
81	0.03014748919
82	0.03004188055
83	0.02992530775
84	0.02981092462
85	0.02969643648
86	0.02955799548
87	0.02941327908
88	0.02933708978
89	0.02923922664
90	0.0291448985
91	0.02906024731
92	0.02890875022
93	0.02880808493
94	0.02872754398
95	0.02864579436
96	0.02857100978
97	0.02845466753
98	0.02835460889
99	0.02821566362
100	0.02813309508
101	0.02798952073
102	0.02792525635
103	0.02782416097
104	0.02778791504
105	0.02769177982
106	0.02763322728
107	0.027533325
108	0.02747213665
109	0.02738208085
110	0.027314322
111	0.02724457224
112	0.0271682703
113	0.02709087907
114	0.02701886738
115	0.02692672611
116	0.02686305197
117	0.02681526278
118	0.0267757665
119	0.02672488682
120	0.02666655049
121	0.02660781362
122	0.02655135638
123	0.02651023057
124	0.02645554394
125	0.02643060029
126	0.02641374666
127	0.02636369407
128	0.02631405367
129	0.02628238191
130	0.02625408776
131	0.02623617233
132	0.02618818936
133	0.02616014641
134	0.02609819479
135	0.02607572937
136	0.02603874655
137	0.0260087553
138	0.0259542805
139	0.02590482448
